Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,870001370,2,HOND,,BLK,MC,11,2014,JH2AF5816EK204494
2017,870002730,1,KAWK,,BLK,MC,11,2006,JKAEXEA116A004352
2017,870003130,2,ZHNG,,GRY,MP,12,2012,L5YACBPAXC1139985
2017,870003160,1,HD,,ONG,MC,11,2013,1HD1KHM18DB600791
2017,870003480,1,YAMA,,SIL/,,11,2004,JYARN13E24A007131
2017,870003550,1,HD,,BLK,MC,11,2007,1HD1HHZ157K808803
2017,870003790,2,HOND,,BLK,MC,11,2006,JH2MC13066K205014
2017,870004200,2,HOND,,BLK,MC,11,2016,MLHRC7409G5200287
2017,870004550,2,KYMC,,RED/,MS,12,2012,LC2U6A031CC000699
2017,870005530,1,SUZU,,BLK,MC,11,1978,GS750E16738
2017,870005570,1,HD,,BLU,MC,11,2004,1HD1FLW184Y612330
2017,870005610,2,YAMA,,SIL,MC,11,2006,JYAVP17E46A017164
2017,870005710,2,RIYA,,BLU,MS,12,2016,LEHTCB036GR000061
2017,870006380,2,YAMA,,BLK,MC,11,2009,JYARJ16E39A014460
2017,870006860,2,YAMA,,GRY,MC,11,2003,JYAVP07EX3A009625
2017,870007080,1,BASH,,SIL,MS,12,2013,LHJTLBBNXDB003510
2017,870007520,1,ZHNG,,GRY,MC,12,2017,L5YACBPZXH1160168
2017,870007630,2,HD,,BLK,MC,11,2010,1HD1FR413AB606553
2017,870007720,2,ZHNG,,GRN,MS,12,2017,L5YACBPB5H1141823
2017,870007720,3,MOTV,,WHI,MS,12,2018,RFVPAP5AXJ1122565
2017,870007850,1,KYMC,,BLK,MS,12,2013,LC2D1A047DC100413
2017,870007920,1,HD,,BLK,MC,11,2013,1HD4LE211DC438685
2017,870008000,2,YAM,,ONG,MC,11,2002,JYARJ04EX2A024826
2017,870008470,2,TAOI,,BLK,MP,12,2017,L9NTEACB7H1004619
2017,870009380,2,HOND,,BLU,MC,11,2009,JH2MC13099K501844
2017,870009570,2,MOTI,,RED/,MS,12,2012,RFVPMP204C1005036
2017,870009920,2,KAWK,,GRN,MC,11,2008,JKAZX4P168A041015
2017,870011130,2,MOTI,,RED,MS,12,2016,RFVPMP200G1011356
2017,870011570,1,SUZI,,BLK,MC,11,2017,JS1GN7FA9H2101203
2017,870011630,2,KYMC,,ONG/,MP,12,2014,LC2U6A02XEC001022
2017,870012070,1,HOND,,WHI/,MC,11,2015,MLHNC5111F5100568
